スタイル概要,Sunoスタイル
和風かわいいJ-POP標準,"j-pop, kawaii, sweet, cute female vocal, soft bright voice, wagakki, shamisen, koto, taiko, japanese traditional, modern japanese pop, catchy chorus, playful melody, sparkling, heartwarming, romantic, gentle, clean mix, upbeat, no intro, no outro"
巫女・神社フェスティブ,"j-pop, kawaii, sweet romantic, cute female vocal, soft breathy voice, wagakki, shamisen, koto, taiko, japanese traditional, miko, shrine, shrine maiden dance, festive, elegant, playful, sparkling, enchanting, vibrant, catchy chorus, no intro, no outro"
猫モチーフ甘かわ和風,"j-pop, kawaii, sweet, cute female vocal, soft playful voice, wagakki, shamisen, koto, light taiko, japanese traditional, neko, cozy, romantic, purring cute mood, playful melody, heartwarming, catchy chorus, sparkling, no intro, no outro"
作業用BGM寄りやさしい和風,"soft j-pop, kawaii, gentle female vocal, soothing voice, wagakki, shamisen, koto, soft taiko, japanese traditional, japanese fantasy, warm, calm, dreamy, heartwarming, elegant, relaxing, melodic, clean mix, not too dramatic, no intro, no outro"
中毒性フック強め,"j-pop, kawaii, sweet, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional, catchy hook, vocal stutter hook, repeated syllables, playful chorus, sparkling melody, upbeat, festive, romantic, vibrant, no intro, no outro"
春の桜ポップ,"j-pop, kawaii, sweet, female vocal, soft bright voice, wagakki, shamisen, koto, light taiko, japanese traditional, sakura, spring, fresh, airy, sparkling, romantic, heartwarming, catchy chorus, clean mix, no intro, no outro"
夏祭りポップ,"upbeat j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, japanese festival, matsuri, bright, playful, energetic, sparkling, catchy chorus, handclaps, festive, vibrant, clean mix, no intro, no outro"
秋の月夜バラード寄り,"soft j-pop, sweet female vocal, emotional but gentle, wagakki, shamisen, koto, soft taiko, japanese traditional, autumn night, moonlight, elegant, wistful, romantic, warm, melodic, clean mix, no intro, no outro"
冬の雪景色しっとり,"soft j-pop, gentle female vocal, warm breathy voice, wagakki, shamisen, koto, subtle taiko, japanese traditional, winter, snow, dreamy, tender, romantic, calm, elegant, clean mix, no intro, no outro"
和風ファンタジー王道,"j-pop, japanese fantasy, kawaii, female vocal, wagakki, shamisen, koto, taiko, traditional japanese, magical, enchanting, sparkling, emotional, adventurous, catchy chorus, cinematic but not dramatic, clean mix, no intro, no outro"
ローファイ和風ポップ,"lofi j-pop, kawaii, soft female vocal, gentle voice, wagakki, shamisen, koto, soft percussion, japanese traditional, chill, cozy, warm, relaxing, mellow beat, dreamy, clean soft mix, no intro, no outro"
エレクトロ和風ポップ,"electro j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, electronic pop, synth bass, sparkling synths, japanese traditional fusion, catchy hook, upbeat, playful, clean mix, no intro, no outro"
アニメOP風和風,"anime opening, j-pop, kawaii, powerful cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, energetic, bright, catchy chorus, dramatic melody, sparkling, vibrant, clean mix, no intro, no outro"
アニメED風しっとり和風,"anime ending, soft j-pop, gentle female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, tender, nostalgic, romantic, warm, melodic, dreamy, clean mix, no intro, no outro"
アイドル風和風,"idol j-pop, kawaii, cute female vocal, bright voice, wagakki, shamisen, koto, taiko, japanese traditional fusion, cheerful, bubbly, catchy chorus, call and response feeling, sparkling, upbeat, clean mix, no intro, no outro"
電波ソング寄り和風かわいい,"denpa j-pop, kawaii, cute female vocal, playful high energy, wagakki, shamisen, koto, taiko, japanese traditional fusion, quirky, repeated syllables, catchy hook, sparkling, upbeat, clean mix, no intro, no outro"
キラキラ恋愛ポップ,"j-pop, kawaii, sweet romantic, cute female vocal, soft bright voice, wagakki, shamisen, koto, light taiko, japanese traditional, sparkling, tender, bashful love song, catchy chorus, heartwarming, clean mix, no intro, no outro"
少し大人っぽい和風恋愛,"j-pop, elegant, romantic, smooth female vocal, soft breathy voice, wagakki, shamisen, koto, taiko, japanese traditional, refined, enchanting, warm, graceful, melodic, clean mix, no intro, no outro"
透明感のある和風,"j-pop, ethereal female vocal, clear voice, wagakki, shamisen, koto, soft taiko, japanese traditional, transparent, airy, dreamy, elegant, gentle, sparkling, clean mix, no intro, no outro"
元気な神社ダンス,"upbeat j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional, miko, shrine dance, festive, playful, rhythmic, vibrant, catchy chorus, clean mix, no intro, no outro"
太鼓強め祭りサウンド,"festival j-pop, energetic female vocal, wagakki, shamisen, koto, strong taiko, japanese traditional, matsuri, rhythmic, powerful but cute, vibrant, catchy chorus, clean mix, no intro, no outro"
琴メイン上品ポップ,"j-pop, kawaii, elegant female vocal, wagakki, koto lead, shamisen, soft taiko, japanese traditional, graceful, sweet, romantic, delicate, sparkling, clean mix, catchy chorus, no intro, no outro"
三味線メイン軽快ポップ,"j-pop, cute female vocal, shamisen lead, wagakki, koto, light taiko, japanese traditional fusion, lively, playful, rhythmic, sweet, catchy chorus, sparkling, clean mix, no intro, no outro"
笛入り幻想和風,"j-pop, japanese fantasy, female vocal, wagakki, shamisen, koto, taiko, shakuhachi, shinobue, traditional japanese, dreamy, mystical, elegant, enchanting, melodic, clean mix, no intro, no outro"
和風シティポップ,"city pop, j-pop, smooth female vocal, wagakki, shamisen, koto, light taiko, japanese traditional fusion, groovy, stylish, sweet, romantic, mellow, clean mix, catchy chorus, no intro, no outro"
和風ディスコポップ,"disco j-pop, kawaii, bright female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, groovy bass, danceable, sparkling, festive, catchy chorus, clean mix, no intro, no outro"
和風Future Bass,"future bass, j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, bright drops, sparkling synths, sweet, energetic, catchy hook, clean mix, no intro, no outro"
和風EDMポップ,"edm pop, j-pop, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, energetic, festival drop, vibrant, sparkling, catchy chorus, clean mix, no intro, no outro"
和風アコースティック,"acoustic j-pop, gentle female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, warm, intimate, tender, romantic, natural, clean mix, no intro, no outro"
和風バラード,"j-pop ballad, emotional female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, tender, romantic, graceful, warm, melodic, clean mix, no intro, no outro"
ゆめかわ和風,"dreamy j-pop, kawaii, sweet female vocal, wagakki, shamisen, koto, light taiko, japanese traditional, pastel, magical, airy, sparkling, soft, heartwarming, clean mix, no intro, no outro"
妖狐・不思議系和風,"j-pop, mystical kawaii, female vocal, wagakki, shamisen, koto, taiko, japanese traditional, kitsune, shrine, mysterious, playful, enchanting, sparkling, catchy chorus, clean mix, no intro, no outro"
お守り・願い事テーマ向け,"j-pop, kawaii, gentle female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, shrine, omamori, wishful, heartwarming, tender, sparkling, romantic, clean mix, no intro, no outro"
雨の神社しっとり,"soft j-pop, gentle female vocal, wagakki, shamisen, koto, subtle taiko, japanese traditional, rainy shrine, calm, melancholic but sweet, dreamy, romantic, elegant, clean mix, no intro, no outro"
夜祭り幻想ポップ,"j-pop, female vocal, wagakki, shamisen, koto, taiko, japanese traditional, night festival, lanterns, mystical, romantic, festive, sparkling, enchanting, catchy chorus, clean mix, no intro, no outro"
